date,platform_en,channel_en,campaign_name,ad_group,creative_type_en,target_audience_en,plan_tier,impressions,clicks,conversions,cost,revenue,ctr,cvr,cpc,cpa,roi
2025-01-01,Ocean Engine,Feed Ads,Campaign_001,AdGroup_030,Live Clip,New Users,Stable,21224,1211,133,6243.01,12151.77,0.0571,0.1098,5.1553,46.9399,1.9465
2025-01-02,Ocean Engine,Feed Ads,Campaign_001,AdGroup_074,Live Clip,New Users,Stable,28859,1880,214,10532.01,18594.43,0.0651,0.1138,5.6021,49.215,1.7655
2025-01-03,Ocean Engine,Feed Ads,Campaign_001,AdGroup_023,Live Clip,New Users,Stable,17837,1087,102,5642.67,9155.06,0.0609,0.0938,5.191,55.3203,1.6225
2025-01-04,Ocean Engine,Feed Ads,Campaign_001,AdGroup_056,Live Clip,New Users,Stable,16542,953,87,4480.15,8192.42,0.0576,0.0913,4.7011,51.496,1.8286
2025-01-05,Ocean Engine,Feed Ads,Campaign_001,AdGroup_082,Live Clip,New Users,Stable,23940,1520,178,7928.04,15667.75,0.0635,0.1171,5.2158,44.5396,1.9762
2025-01-06,Ocean Engine,Feed Ads,Campaign_001,AdGroup_090,Live Clip,New Users,Stable,16288,976,90,4533.9,7785.03,0.0599,0.0922,4.6454,50.3767,1.7171
2025-01-07,Ocean Engine,Feed Ads,Campaign_001,AdGroup_048,Live Clip,New Users,Stable,12739,727,74,3861.27,6827.37,0.0571,0.1018,5.3112,52.1793,1.7682
2025-01-08,Ocean Engine,Feed Ads,Campaign_001,AdGroup_079,Live Clip,New Users,Stable,12925,731,70,3978.72,6702.36,0.0566,0.0958,5.4428,56.8389,1.6846
2025-01-09,Ocean Engine,Feed Ads,Campaign_001,AdGroup_059,Live Clip,New Users,Stable,21099,1250,138,6421.59,13156.81,0.0592,0.1104,5.1373,46.5333,2.0488
2025-01-10,Ocean Engine,Feed Ads,Campaign_001,AdGroup_018,Live Clip,New Users,Stable,17576,1046,114,5796.69,10517.87,0.0595,0.109,5.5418,50.8482,1.8145
2025-01-11,Ocean Engine,Feed Ads,Campaign_001,AdGroup_086,Live Clip,New Users,Stable,27309,1621,155,8050.09,13177.87,0.0594,0.0956,4.9661,51.9361,1.637
2025-01-12,Ocean Engine,Feed Ads,Campaign_001,AdGroup_067,Live Clip,New Users,Stable,10095,612,55,3388.38,5140.8,0.0606,0.0899,5.5366,61.6069,1.5172
2025-01-13,Ocean Engine,Feed Ads,Campaign_001,AdGroup_042,Live Clip,New Users,Stable,16035,1035,114,5347.53,10643.62,0.0645,0.1101,5.1667,46.9082,1.9904
2025-01-14,Ocean Engine,Feed Ads,Campaign_001,AdGroup_070,Live Clip,New Users,Stable,29741,1784,176,9392.22,16391.39,0.06,0.0987,5.2647,53.3649,1.7452
2025-01-15,Ocean Engine,Feed Ads,Campaign_001,AdGroup_062,Live Clip,New Users,Stable,12178,697,64,3359.66,5573.78,0.0572,0.0918,4.8202,52.4947,1.659
2025-01-16,Ocean Engine,Feed Ads,Campaign_001,AdGroup_006,Live Clip,New Users,Stable,19886,1351,120,10179.7,8712.29,0.0679,0.0888,7.5349,84.8308,0.8558
2025-01-17,Ocean Engine,Feed Ads,Campaign_001,AdGroup_057,Live Clip,New Users,Stable,19046,1311,148,6336.64,12911.63,0.0688,0.1129,4.8334,42.8151,2.0376
2025-01-18,Ocean Engine,Feed Ads,Campaign_001,AdGroup_026,Live Clip,New Users,Stable,18266,1216,126,6173.07,12231.93,0.0666,0.1036,5.0765,48.9926,1.9815
2025-01-19,Ocean Engine,Feed Ads,Campaign_001,AdGroup_037,Live Clip,New Users,Stable,15416,977,92,4566.92,8622.23,0.0634,0.0942,4.6744,49.6404,1.888
2025-01-20,Ocean Engine,Feed Ads,Campaign_001,AdGroup_010,Live Clip,New Users,Stable,11002,697,81,3417.51,7571.34,0.0634,0.1162,4.9032,42.1915,2.2155
2025-01-21,Ocean Engine,Feed Ads,Campaign_001,AdGroup_038,Live Clip,New Users,Stable,28462,1672,181,9545.2,11280.81,0.0587,0.1083,5.7089,52.7359,1.1818
2025-01-22,Ocean Engine,Feed Ads,Campaign_001,AdGroup_078,Live Clip,New Users,Stable,28369,1757,172,9803.91,16677.37,0.0619,0.0979,5.5799,56.9995,1.7011
2025-01-23,Ocean Engine,Feed Ads,Campaign_001,AdGroup_014,Live Clip,New Users,Stable,15214,1061,116,4880.87,11163.6,0.0697,0.1093,4.6003,42.0765,2.2872
2025-01-24,Ocean Engine,Feed Ads,Campaign_001,AdGroup_062,Live Clip,New Users,Stable,12665,859,97,4083.67,8554.97,0.0678,0.1129,4.754,42.0997,2.0949
