date,platform,channel,campaign_name,ad_group,creative_type,target_audience,region,device,impressions,clicks,conversions,cost,revenue,ctr,cvr,cpc,cpa,roi
2025-03-23,巨量引擎,信息流,广告计划_009,广告组_095,直播切片,女性18-24,华南,iOS,2158,55,10,302.78,781.46,0.0255,0.1818,5.51,30.28,2.58
2025-01-14,磁力引擎,信息流,广告计划_006,广告组_028,直播切片,男性25-34,华东,iOS,3607,195,25,179.72,2632.3,0.0541,0.1282,0.92,7.19,14.65
2025-01-30,磁力引擎,信息流,广告计划_015,广告组_058,直播切片,老客,西南,Android,2748,73,4,196.48,326.14,0.0266,0.0548,2.69,49.12,1.66
2025-03-17,腾讯广告,信息流,广告计划_018,广告组_020,图文,学生党,华中,Android,3704,144,14,311.79,602.19,0.0389,0.0972,2.17,22.27,1.93
2025-01-28,腾讯广告,信息流,广告计划_023,广告组_078,图文,男性25-34,华东,Android,1775,61,1,384.47,55.33,0.0344,0.0164,6.3,384.47,0.14
2025-02-03,巨量引擎,开屏,广告计划_036,广告组_038,直播切片,新客,华中,iOS,2687,116,3,648.24,110.05,0.0432,0.0259,5.59,216.08,0.17
2025-03-22,磁力引擎,短视频,广告计划_043,广告组_030,直播切片,老客,华东,iOS,2749,241,35,921.2,850.37,0.0877,0.1452,3.82,26.32,0.92
2025-02-07,巨量引擎,搜索,广告计划_041,广告组_047,图文,男性25-34,华北,Android,2811,110,13,713.9,1477.47,0.0391,0.1182,6.49,54.92,2.07
2025-01-21,腾讯广告,短视频,广告计划_039,广告组_082,图文,学生党,华北,iOS,834,81,4,643.21,178.89,0.0971,0.0494,7.94,160.8,0.28
2025-01-22,磁力引擎,搜索,广告计划_041,广告组_089,图文,男性25-34,华中,Android,3621,139,12,160.36,1125.67,0.0384,0.0863,1.15,13.36,7.02
2025-03-13,巨量引擎,短视频,广告计划_026,广告组_035,图文,老客,华东,Android,1249,55,11,365.2,796.39,0.044,0.2,6.64,33.2,2.18
2025-01-09,巨量引擎,短视频,广告计划_042,广告组_059,图文,学生党,华中,Android,5977,319,49,2414.42,4697.57,0.0534,0.1536,7.57,49.27,1.95
